Chr	Start	End
1	337	619
1	939	1335
1	2398	2684
1	6314	6561
1	9188	9594
1	11116	11245
1	12444	12901
1	20574	21014
1	24185	24239
1	26911	27503
1	28152	28936
1	29798	30099
1	31634	31723
1	32925	33317
1	34474	35126
1	36376	36574
1	37234	37478
1	38768	39244
1	42483	42706
1	45094	45726
1	48296	48793
1	52602	52840
1	53221	53701
1	54834	54896
1	57216	57831
1	58119	58708
1	60868	61741
1	62627	62789
1	67607	69048
1	69314	70626
1	70792	71809
1	72751	72915
1	73154	73304
1	73647	73830
1	74879	75108
1	75859	76738
1	79505	79662
1	81881	82752
1	83407	83657
1	84462	84658
1	87029	87351
1	92150	93255
1	94467	94607
1	99802	99990
1	100313	100432
1	101185	101416
1	105887	106179
1	108301	109708
1	110421	110634
1	113007	115181
1	119633	119885
1	124443	124814
1	127852	128221
1	128685	129662
1	129841	129997
1	130183	131117
1	131994	132251
1	134760	134905
1	135729	135783
1	136453	136892
1	138408	138672
1	139042	139786
1	141493	142344
1	143369	143650
1	152077	152159
1	154751	154918
1	158642	158882
1	160498	160621
1	165121	165358
1	166106	166352
1	168735	169385
1	170756	170948
1	171755	171974
1	174975	175503
1	176249	176363
1	179699	180606
1	180978	181440
1	182449	182662
1	182935	183092
1	184583	184874
1	187936	187995
1	188478	192939
1	198205	198775
1	202618	202886
1	204241	204436
1	210959	211639
1	217388	217552
1	219876	220393
1	220660	220819
1	223101	223242
2	891	1208
2	3614	3971
2	4223	4328
2	8245	8400
2	10507	10748
2	17977	18093
2	21365	21485
2	23789	23998
2	28378	29054
2	36436	36712
2	38919	39129
2	40635	40715
2	43088	43438
2	45020	45547
2	45800	45960
2	46689	46862
2	47208	47325
2	48623	48823
2	49375	49636
2	59793	59903
2	60808	61051
2	62596	63099
2	69491	69880
2	70878	71892
2	74543	75485
2	75646	75736
2	80776	80988
2	84286	84656
2	87808	88260
2	89523	89972
2	90452	90654
2	92178	92360
2	96135	96383
2	100151	100305
2	101186	101875
2	107470	107929
2	110574	110655
2	111289	111395
2	113463	113648
2	116804	117430
2	117982	118112
2	121607	121717
2	122122	122351
2	124789	125090
2	126086	126673
2	131895	132458
2	134630	134821
2	135696	136575
2	137184	137394
2	137674	138078
2	139895	141216
2	142882	143240
2	145788	146124
2	146888	147179
2	151065	151488
2	152103	152232
2	152995	153197
2	153711	153940
2	158465	158666
2	159651	160501
2	161493	161653
2	164106	164413
2	165037	165908
2	166880	167001
2	167929	168318
2	170117	170581
2	171184	171458
2	172296	172495
2	176276	176697
2	177638	177817
2	181349	181619
2	182064	182344
2	186584	186669
2	191738	192332
2	192923	194301
2	195911	196337
2	201869	202015
2	202242	202540
2	202861	203370
2	206973	207166
2	209038	209146
2	209430	209554
2	216405	216847
2	217090	217583
2	221858	222059
2	227317	227512
2	235997	236325
2	241259	241630
2	242582	242780
2	246681	246886
2	250886	251819
2	252673	252829
2	254533	254592
2	255007	255097
2	255761	256305
2	256847	256975
2	257894	258318
2	260376	260507
2	269644	270215
2	273829	273988
2	275554	276145
2	276539	276760
2	278480	278777
2	281064	281186
2	287816	289325
2	291894	292520
2	294127	294185
2	296110	296263
2	297800	298218
2	301181	302174
2	305999	306245
2	307029	307579
2	308046	308297
2	311463	311702
2	315351	315510
2	318018	318181
2	321656	321809
2	323863	324479
2	326142	326335
2	326707	326953
2	330296	330395
2	331531	331790
2	332471	332751
2	336904	337184
2	338279	338829
2	339406	339548
2	340822	340980
2	341252	342620
2	344132	344351
2	347300	347839
2	350583	351325
2	356576	356843
2	360145	360652
2	362633	362841
2	369793	369958
2	370948	371794
2	372339	372407
2	373025	373435
2	375857	376315
2	378066	378144
2	378584	379177
2	379786	380461
2	381118	381497
2	382934	383091
2	389842	390064
2	391519	391842
2	392326	393600
2	398362	398510
2	400916	401153
2	405868	406397
2	407178	407711
2	408545	408956
2	409243	409403
2	410728	411004
2	415462	415614
2	418128	418452
2	419198	420124
2	423325	423693
2	426579	427087
2	429257	429520
2	430988	432201
2	435657	436030
2	436758	436894
2	441342	441477
2	444718	444961
2	447376	447603
2	449052	449821
2	451618	452910
2	453368	453617
2	454530	454970
2	458392	458833
2	461849	462168
2	462447	462536
2	465667	467119
2	469616	469770
2	470933	471263
2	472005	472560
2	473598	474638
2	475977	476200
2	476497	477833
2	479174	479271
2	481023	481206
2	483427	483861
2	484561	484723
2	486754	486912
2	488374	488840
2	489920	491453
2	492649	493510
2	494158	494310
2	495137	495203
2	495420	495516
2	496817	497305
2	501131	502631
2	504191	505739
2	512784	512933
2	513309	513406
2	515174	515907
2	526690	527315
2	528014	528279
2	532179	532534
2	533186	533842
2	534967	535200
2	536235	536442
2	537499	537773
2	539713	539966
2	544526	544892
2	546198	546275
2	547212	547372
2	549116	549715
2	553254	553429
2	553658	553748
2	554613	556184
2	558483	558575
2	561061	561581
2	563618	563736
2	564801	565646
2	568486	568766
2	576114	576284
2	578130	578281
2	581439	581695
2	582075	582605
2	583462	583599
2	585964	586679
2	589223	589414
2	592933	593044
2	595605	595990
2	597139	597331
2	600033	600526
2	602347	602409
2	604283	604388
2	605999	606093
2	611945	612097
2	614118	614392
2	615193	615269
2	615950	616030
2	618528	618878
2	620554	620852
2	623246	623411
2	624726	625692
2	628169	629164
2	633217	633794
2	634500	635396
2	641871	643301
2	645010	645539
2	647198	647500
2	650060	650327
2	650716	651744
2	652775	652899
2	653124	653318
2	657604	657812
2	661458	663122
2	664706	665089
2	666246	666711
2	668218	668891
2	670274	670516
2	675180	675310
2	679046	681061
2	681388	681512
2	681899	683370
2	684803	684963
2	686608	686868
2	691701	691910
2	697032	698479
2	698732	698810
2	700081	700326
2	701526	704657
2	704861	705116
2	706761	707511
2	707684	707747
2	711315	711599
2	714526	714707
2	716512	716806
2	717769	719239
2	721160	721321
2	722419	722767
2	722992	723304
2	727125	727265
2	728149	728380
2	728628	728813
2	730171	730308
2	734589	735003
2	735488	736424
2	738125	738609
2	739655	739839
2	741078	741837
2	742488	742781
2	744413	744878
2	745661	745963
2	747815	747944
2	749375	749544
2	757268	757378
2	760152	760328
2	760911	761201
2	764748	764872
2	767650	767874
2	770628	770859
2	771115	771176
2	773607	773749
2	774546	774626
2	776319	776494
2	784682	784886
2	786440	786608
2	786856	787022
2	788741	788912
2	792540	792733
2	798771	799202
2	800235	800458
2	804842	805186
3	8702	9129
3	13044	13190
3	13577	13758
3	24357	24716
3	38875	39640
3	40542	41294
3	41906	42049
3	48473	48604
3	50055	50127
3	50334	52316
3	52411	52565
3	56610	56830
3	58788	58984
3	61227	61639
3	63271	63372
3	65032	68919
3	71387	71869
3	72979	73136
3	76881	77478
3	78561	79048
3	80797	81700
3	87118	87157
3	88399	88605
3	93779	97590
3	98584	98741
3	100270	100418
3	108594	108807
3	109833	110029
3	111111	111255
3	112063	112177
3	126835	127089
3	137574	137898
3	141581	141758
3	156084	156167
3	159366	159509
3	161798	162019
3	167439	168233
3	168560	168675
3	172647	172786
3	173764	173829
3	176593	177123
3	177714	177938
3	179744	179909
3	180789	180945
3	181167	181314
3	182557	182708
3	183091	183260
3	188873	188984
3	190275	190646
3	194555	194805
3	197293	197539
3	201030	201972
3	203591	203881
3	204457	204611
3	204981	205221
3	206771	206989
3	208790	208917
3	209606	210096
3	210818	211134
3	211928	212698
3	213485	219727
3	220565	221104
3	224365	224620
3	226805	226915
3	227249	231350
3	232177	233844
3	235534	235727
3	240444	241416
3	242904	243226
3	244811	245054
3	246598	246857
3	250433	252164
3	252812	253428
3	253815	253878
3	254245	254462
3	256361	257769
3	258066	258144
3	258477	258611
3	262900	263132
3	263601	263845
3	266721	267573
3	268766	269282
3	270521	270594
3	271183	271420
3	277153	277329
3	278350	278582
3	284160	284351
3	293585	293768
3	297934	298122
3	298535	298698
3	303156	303781
3	307011	307457
3	307981	308368
3	308845	308929
3	309484	309713
3	309977	310158
3	310496	311283
3	311655	311815
3	312678	312936
3	314217	315179
4	1654	1734
4	5474	5832
4	9061	9136
4	10140	10428
4	15748	15892
4	19160	19441
4	19931	20495
4	22444	22625
4	28834	28941
4	30500	30673
4	32019	32270
4	34063	34314
4	35228	35446
4	36608	36787
4	42350	42554
4	43844	43965
4	46027	46790
4	47075	47304
4	47834	48046
4	49296	49879
4	52162	52413
4	56744	56876
4	60269	60313
4	60548	61759
4	62036	63806
4	65947	66097
4	68750	68945
4	70349	70495
4	74100	74376
4	76211	76424
4	76664	77287
4	77977	78371
4	80518	80666
4	82517	82585
4	83744	84057
4	87258	87508
4	88035	88257
4	89854	90054
4	93870	94496
4	98142	98418
4	99365	99435
4	103368	103612
4	104402	104932
4	106168	107311
4	111176	111412
4	114336	114618
4	115982	116196
4	117416	117564
4	121786	122005
4	125162	125574
4	126464	126617
4	131949	132372
4	132421	133418
4	134544	135749
4	137854	138054
4	139270	139497
4	141724	141972
4	143177	143333
4	145483	145749
4	147630	148184
4	148491	149001
4	155629	156538
4	158650	159714
4	161687	161846
4	163187	164300
4	167167	167812
4	169631	169784
4	172050	172725
4	174580	174826
4	175423	175771
4	176240	176817
4	178117	178298
4	183085	183263
4	184691	184925
4	190665	190891
4	192395	192495
4	196250	196293
4	198194	198821
4	198984	199060
4	199423	200342
4	202404	202920
4	203308	203414
4	211121	211310
4	212104	212287
4	212525	213337
