sysname	chr	type	start	stop	orientation	genename	RNAseq_Brar_00_EXP	RNAseq_Brar_01_preMeiosis	RNAseq_Brar_02_DNArep	RNAseq_Brar_03_LepZyg	RNAseq_Brar_04_PachDip	RNAseq_Brar_05_Met1	RNAseq_Brar_06_Ana1	RNAseq_Brar_07_Met2	xRNAseq_Brar_08_Ana2	RNAseq_Brar_09_SporeEarly	RNAseq_Brar_10_SporeLate
1	1	chromosome	1	230218	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEL01L	1	´telomere	1	801	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEL01L_telomeric_repeat	1	telomeric_repeat	1	62	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEL01L_X_element_combinatorial_repeat	1	X_element_combinatorial_repeat	63	336	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	335	649	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL069W	1	gene	335	649	+	Dubious_ORF	3.6	1.6	2.5	0.8	2.8	6.8	2.2	0.5	2.1	2.5	10.9
YAL069W_mRNA	1	mRNA	335	649	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEL01L_X_element	1	X_element	337	801	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	538	792	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL068W-A	1	gene	538	792	+	Dubious_ORF	0.7	0	0	0	1.5	0	0	0	3.1	3.3	31.5
YAL068W-A_mRNA	1	mRNA	538	792	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS102	1	ARS	707	776	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	1807	2169	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL068C	1	gene	1807	2169	-	PAU8	NA	0	0	0	0	0	0	0.4	NA	0	NA
YAL068C_mRNA	1	mRNA	1807	2169	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	2480	2707	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL067W-A	1	gene	2480	2707	+	Dubious_ORF	0	0	0	0	0	0	0	0	0	0	0
YAL067W-A_mRNA	1	mRNA	2480	2707	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	7235	9016	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL067C	1	gene	7235	9016	-	SEO1	3	356.4	66.3	46.7	74.2	107.1	138.5	255.7	202.8	123.6	149.7
YAL067C_mRNA	1	mRNA	7235	9016	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS103	1	ARS	7997	8547	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	10091	10399	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
